,Title,Company,Location,Salary
1,"('Accounting Software Programmer',)","('PT Gosantha Global',)","('Yogyakarta',)","IDR 2,000,000 - 3,500,000"
2,"('IT Programmer',)","('PT Wahana Ottomitra Multiartha (WOM Finance), Tbk',)","('Jakarta Utara (Jakarta Raya) - Sunter',)",Above Expected Salary
3,"('Web Application Programmer Specialist',)","('PT Asuransi Jiwa Sinarmas MSIG',)","('Jakarta Pusat (Jakarta Raya)',)",Above Expected Salary
4,"('Software Developer',)","('PT Penguin Trading',)","('Jakarta Raya',)",Above Expected Salary
5,"('IT Programmer',)","('PT FATAHILLAH ANUGERAH NIBRAS',)","('Tangerang (Banten) - Pondok Aren, Tangerang Selatan',)",Above Expected Salary
6,"('IT Programmer',)","('PT Asuransi Kresna Mitra Tbk',)","('Jakarta Raya - Sunter',)",Above Expected Salary
7,"('Programmer (Data Scientist)',)","('PT SCG Readymix Indonesia',)","('Jakarta Selatan (Jakarta Raya) - Graha Mobisel',)",Above Expected Salary
8,"('Programmer PHP',)","('PT. Metrodata Electronics, Tbk',)","('Jakarta Raya',)",Above Expected Salary
9,"('IT Senior JAVA Developer Programmer - (Java Dev Sr.) Yogyakarta',)","('PT Sarana Yukti Bandhana',)","('Jakarta Selatan (Jakarta Raya), Yogyakarta',)","IDR 7,000,000 - 12,000,000"
10,"('IT Senior JAVA Developer / Programmer - (Java Dev Sr.) JAKARTA',)","('PT Sarana Yukti Bandhana',)","('Jakarta Selatan (Jakarta Raya), Yogyakarta',)","IDR 10,000,000 - 15,000,000"
11,"('Programmer Front End Developer',)","('PT. Digital Animasi Asia',)","('Tangerang (Banten) - Gading Serpong',)","IDR 7,000,000 - 12,000,000"
12,"('Programmer',)","('Company Confidential',)","('Jakarta Raya - Jakarta Selatan',)","IDR 5,000,000 - 8,000,000"
13,"('IT Programmer',)","('PT Jababeka, Tbk',)","('Cikarang (Jawa Barat)',)",Above Expected Salary
14,"('Programmer',)","('PT Inet Global Indo',)","('Jakarta Raya',)","IDR 4,300,000 - 5,590,000"
15,"('IT PROGRAMMER',)","('PT Pandurasa Kharisma',)","('Jakarta Utara (Jakarta Raya) - Sunter',)",Above Expected Salary
16,"('Programmer Laravel',)","('PT Bhakti Adikarya Buana Abadi',)","('Jakarta Raya',)","IDR 3,500,000 - 4,550,000"
17,"('.NET Web Developer - Programmer (C#, VB.NET, ASP.NET, MVC)',)","('PT Kamoro Maxima Integra',)","('Jakarta Barat (Jakarta Raya)',)",Above Expected Salary
18,"('Senior Programmer .Net (Site : Rumbai)',)","('PT. Metrodata Electronics, Tbk',)","('Pekanbaru (Riau) - Rumbai',)",Above Expected Salary
19,"('WEB PROGRAMMER',)","('PT Duta Daya Digital',)","('Jakarta Barat (Jakarta Raya), Tangerang (Banten)',)",Above Expected Salary
20,"('Frontend Programmer',)","('Suteki Technology',)","('Jawa Barat - Bandung',)","IDR 5,000,000 - 10,000,000"
21,"('',)","('',)","('',)",
22,"('Java Programmer',)","('Erajaya Group',)","('Jakarta Barat (Jakarta Raya) - Erajaya Gedong Panjang',)",Above Expected Salary
23,"('IT Java Programmer',)","('PT Asuransi Jiwa Sinarmas MSIG',)","('Jakarta Raya - Sinarmas MSIG Tower, Sudirman Jakarta Pusat',)",Above Expected Salary
24,"('Programmer ASP VB.NET',)","('CV Bona Artha Solusindo',)","('Jakarta Raya',)",Above Expected Salary
25,"('Staf IT Programmer',)","('Kisel (Koperasi Telekomunikasi Selular)',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary
26,"('Programmer',)","('PT Dua Putra Utama Makmur Tbk',)","('Kudus (Jawa Tengah) - Pati',)",Above Expected Salary
27,"('Programmer Analyst',)","('PT Adicipta Inovasi Teknologi',)","('Jakarta Barat (Jakarta Raya) - Kebon Jeruk',)",Above Expected Salary
28,"('.NET PROGRAMMER',)","('PT Lawencon Internasional',)","('Jakarta Raya',)",Above Expected Salary
29,"('Programmer',)","('PT Novell Pharmaceutical Laboratories',)","('Jakarta Barat (Jakarta Raya)',)",Above Expected Salary
30,"('ERP Programmer [.net . C#]',)","('Saeyan INC Co.,LTD',)","('Tangerang (Banten)',)",USD 500 - 800
31,"('Programmer (Golang)',)","('TEXO (PT Fintek Visi Nusa)',)","('Tangerang (Banten) - Ruko Great Wall, Jl.Green Lake City Boulevard No.17',)",Above Expected Salary
32,"('IT Programmer',)","('Company Confidential',)","('Jawa Timur',)",Above Expected Salary
33,"('IT (Programmer)',)","('PT IVY EDUCATION SERVICES',)","('Surabaya (Jawa Timur) - Royal Residence B5-111',)","IDR 3,500,000 - 4,000,000"
34,"('ERP Programmer',)","('PT. Berca Hardayaperkasa',)","('Jakarta Pusat (Jakarta Raya)',)",Above Expected Salary
35,"('Programmer',)","('Sinergi 7 Utama',)","('Bandung (Jawa Barat), Jakarta Pusat (Jakarta Raya)',)",Above Expected Salary
36,"('SENIOR JAVA PROGRAMMER',)","('PT Visi Jaya Indonesia',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary
37,"('Web Programmer Fullstack',)","('PT Nusantara Compnet Integrator',)","('Jakarta Barat (Jakarta Raya) - Kebon Jeruk',)","IDR 6,000,000 - 12,000,000"
38,"('Programmer',)","('PT Nusantara Compnet Integrator',)","('Jakarta Barat (Jakarta Raya)',)","IDR 6,000,000 - 12,000,000"
39,"('Programmer',)","('Lidah Buaya Group',)","('Magelang (Jawa Tengah) - Kota Magelang',)",Above Expected Salary
40,"('Fullstack Programmer',)","('PT IDE DUA SEN (IDDS)',)","('Jakarta Selatan (Jakarta Raya) - Mampang Prapatan',)","IDR 18,000,000 - 20,000,000"
41,"('Lead Senior Back End Developer ( Full Stack Programmer )',)","('PT Solutech Inovasi Teknologi',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary
42,"('',)","('',)","('',)",
43,"('Programmer Visual Basic',)","('PT Propan Raya Industrial Coating Chemicals',)","('Tangerang (Banten)',)",Above Expected Salary
44,"('Android Programmer Developer',)","('Pt. Sistem Teknologi Regularisasi Elektronik Aktivitas Millenial',)","('Medan (Sumatera Utara)',)","IDR 3,000,000 - 6,000,000"
45,"('Programmer',)","('PT. INETUTAMA SYSTEMINDO',)","('Jakarta Raya - Jakarta Selatan - Jl. Kapten Tendean Mampang',)","IDR 5,000,000 - 6,500,000"
46,"('Programmer / Developer - Based JKT & BDO',)","('PointStar Pte.Ltd.',)","('Bandung (Jawa Barat), Jakarta Raya',)","IDR 7,000,000 - 14,000,000"
47,"('Senior C# Programmer',)","('PT SatNetCom',)","('Bandung (Jawa Barat), Jakarta Raya, Surabaya (Jawa Timur), Yogyakarta',)",Above Expected Salary
48,"('IT Center (Programmer)',)","(""Daarul Qur'an Group"",)","('Tangerang (Banten)',)",Above Expected Salary
49,"('Programmer (temporary)',)","('PT Tigaraksa Satria, Tbk',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary
50,"('Web Programmer + IT Support',)","('PT Aldmic Indonesia',)","('Jakarta Raya',)","IDR 4,200,000 - 5,460,000"
51,"('Senior Web Programmer',)","('PT Asia Utama Indonesia',)","('Jakarta Selatan (Jakarta Raya)',)","IDR 5,000,000 - 10,000,000"
52,"('Web Programmer',)","('PT Astrindo Senayasa',)","('Jakarta Utara (Jakarta Raya)',)",Above Expected Salary
53,"('Web Programmer',)","('PT MEKA EDUVERSITY KOMUNIKASI',)","('Jakarta Selatan (Jakarta Raya)',)",Above Expected Salary
54,"('Developer .NET (Programmer)',)","('PT Berlian Sistem Informasi',)","('Jakarta Timur (Jakarta Raya)',)",Above Expected Salary
55,"('IT System Programmer and Development',)","('RX Fashion',)","('Jakarta Barat (Jakarta Raya)',)","IDR 4,000,000 - 6,000,000"
56,"('System Developer (Programmer)',)","('PT Harmoni Dinamik Indonesia',)","('Jakarta Pusat (Jakarta Raya)',)",Above Expected Salary
57,"('ASP.NET CORE MVC PROGRAMMER',)","('Company Confidential',)","('Jakarta Raya - Kelapa Gading',)","IDR 8,000,000 - 10,000,000"
58,"('Programmer (Golang)',)","('PT Solusi Pembayaran Elektronik',)","('Tangerang (Banten) - Jl.Greenlake City Boulevard, Ruko Greatwall Blok A',)",Above Expected Salary
59,"('React Native Programmer (at least 1-year experience, on / offline algorithm test)',)","('PT Five Jack',)","('Jakarta Barat (Jakarta Raya) - Tomang & Slipi',)","IDR 7,000,000 - 14,000,000"
60,"('SENIOR APPS PROGRAMMER',)","('PT Visi Jaya Indonesia',)","('Jakarta Raya - JAKARTA SELATAN',)","IDR 13,000,000 - 20,000,000"
